Ano-Mes,CO2e - AR4 (Mg)
2015-01-01,5695.72391738545
2015-02-01,4703.8974788377
2015-03-01,3148.26287303775
2015-04-01,2279.14301710745
2015-05-01,3696.97413239245
2015-06-01,3931.6454827832
2015-07-01,7928.0784353225
2015-08-01,8298.613179727
2015-09-01,6443.08050652045
2015-10-01,6457.02805612865
2015-11-01,6765.1020264854
2015-12-01,6083.2603071604
2016-01-01,4491.3978584384
2016-02-01,6797.719436772551
2016-03-01,8103.9107505915
2016-04-01,6929.708606187251
2016-05-01,8492.473655587999
2016-06-01,7814.5757396915
2016-07-01,8634.622824412
2016-08-01,9074.656652373
2016-09-01,8505.785989389002
2016-10-01,9318.6685540065
2016-11-01,10018.2459606645
2016-12-01,10211.076331664
2017-01-01,10384.143119532
2017-02-01,8105.274312226
2017-03-01,9965.0550914525
2017-04-01,10145.140019495
2017-05-01,10368.4376207815
2017-06-01,9714.6605807095
2017-07-01,3457.49013524135
2017-08-01,10223.840833388
2017-09-01,9141.2578002525
2017-10-01,9532.811785276
2017-11-01,8825.896036828
2017-12-01,9838.2476568675
2018-01-01,9679.3555761825
2018-02-01,8521.8839841005
2018-03-01,9697.923830705498
2018-04-01,9313.107191466
2018-05-01,9683.573080700999
2018-06-01,7628.352169087
2018-07-01,9726.459175524
2018-08-01,10101.8924529445
2018-09-01,8011.6941183175
2018-10-01,9762.0518527935
2018-11-01,8913.157819579
2018-12-01,10253.7704774765
2019-01-01,9936.3813914495
2019-02-01,7202.6517519515
2019-03-01,8465.3968079915
2019-04-01,7663.417147789
2019-05-01,7904.763759672
2019-06-01,7498.854152478
2019-07-01,6435.729332305
2019-08-01,7756.212708023
2019-09-01,7804.7554592215
2019-10-01,7473.1423711555
2019-11-01,8108.973575911
2019-12-01,9452.479512267999
